Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 8
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;Sta1 [-];Rich1 [-];U1 [-];Sta2 [-];Rich2 [-];U2 [-];Linienlast1 [N/mm];Linienlast2 [N/mm];
22.02.2019;10:32:36,00000;0,17292;0,17293;3,50416;3,50416;0,01774;-0,00082;0,70000;0,70000;
22.02.2019;10:32:37,00000;0,03848;0,03095;2,00116;2,00185;1,01426;1,03793;0,70000;0,70000;
22.02.2019;10:32:38,00000;0,03947;0,03141;2,00347;2,00555;1,01110;1,03678;0,70000;0,70000;
22.02.2019;10:32:39,00000;0,03953;0,03144;2,00578;2,00926;1,01148;1,03781;0,70000;0,70000;
22.02.2019;10:32:40,00000;0,03963;0,03160;2,00810;2,01296;1,01101;1,03781;0,70000;0,70000;
22.02.2019;10:32:41,00000;0,03903;0,03117;2,01041;2,01666;1,01011;1,03570;0,70000;0,70000;
22.02.2019;10:32:42,00000;-0,02672;-0,02604;2,01273;2,02037;0,93919;0,95806;0,70000;0,70000;
22.02.2019;10:32:43,00000;-0,06202;-0,05797;2,01504;2,02407;0,93172;0,95995;0,70000;0,70000;
22.02.2019;10:32:44,00000;-0,07093;-0,06621;2,01736;2,02777;0,92901;0,95824;0,70000;0,70000;
22.02.2019;10:32:45,00000;-0,07023;-0,06568;2,01967;2,03148;0,93598;0,96120;0,70000;0,70000;
22.02.2019;10:32:46,00000;-0,06848;-0,06395;2,02199;2,03518;0,93830;0,95998;0,70000;0,70000;
22.02.2019;10:32:47,00000;-0,06622;-0,06307;2,02430;2,03889;0,94510;0,96462;0,70000;0,70000;
22.02.2019;10:32:48,00000;-0,06522;-0,06257;2,02662;2,04259;0,94177;0,96126;0,70000;0,70000;
22.02.2019;10:32:49,00000;-0,06431;-0,06162;2,02893;2,04629;0,94285;0,96353;0,70000;0,70000;
22.02.2019;10:32:50,00000;-0,06360;-0,06091;2,03125;2,05000;0,94202;0,96295;0,70000;0,70000;
22.02.2019;10:32:51,00000;-0,06268;-0,06017;2,03356;2,05370;0,94712;0,97192;0,70000;0,70000;
22.02.2019;10:32:52,00000;-0,06204;-0,05939;2,03588;2,05740;0,94546;0,96326;0,70000;0,70000;
22.02.2019;10:32:53,00000;-0,06120;-0,05860;2,03819;2,06111;0,94985;0,96349;0,70000;0,70000;
22.02.2019;10:32:54,00000;-0,06067;-0,05803;2,04051;2,06481;0,94752;0,96967;0,70000;0,70000;
22.02.2019;10:32:55,00000;-0,06008;-0,05741;2,04282;2,06851;0,94705;0,97159;0,70000;0,70000;
22.02.2019;10:32:56,00000;-0,05951;-0,05665;2,04514;2,07222;0,94888;0,96967;0,70000;0,70000;
22.02.2019;10:32:57,00000;-0,05870;-0,05601;2,04745;2,07592;0,95481;0,97069;0,70000;0,70000;
22.02.2019;10:32:58,00000;-0,05828;-0,05540;2,04977;2,07963;0,95135;0,96552;0,70000;0,70000;
22.02.2019;10:32:59,00000;-0,05777;-0,05489;2,05208;2,08333;0,95163;0,97382;0,70000;0,70000;
22.02.2019;10:33:00,00000;-0,05726;-0,05423;2,05440;2,08703;0,95307;0,97005;0,70000;0,70000;
22.02.2019;10:33:01,00000;-0,05679;-0,05378;2,05671;2,09074;0,95611;0,97662;0,70000;0,70000;
22.02.2019;10:33:02,00000;-0,05652;-0,05334;2,05903;2,09444;0,95418;0,97360;0,70000;0,70000;
22.02.2019;10:33:03,00000;-0,05603;-0,05279;2,06134;2,09814;0,95414;0,98039;0,70000;0,70000;
22.02.2019;10:33:04,00000;-0,05563;-0,05233;2,06366;2,10185;0,95856;0,97888;0,70000;0,70000;
22.02.2019;10:33:05,00000;-0,05505;-0,05187;2,06597;2,10555;0,95950;0,97844;0,70000;0,70000;
22.02.2019;10:33:06,00000;-0,05479;-0,05138;2,06828;2,10926;0,96006;0,98197;0,70000;0,70000;
22.02.2019;10:33:07,00000;-0,05422;-0,05128;2,07060;2,11296;0,96438;0,97727;0,70000;0,70000;
22.02.2019;10:33:08,00000;-0,05390;-0,05140;2,07291;2,11666;0,96469;0,98226;0,70000;0,70000;
22.02.2019;10:33:09,00000;-0,05330;-0,05099;2,07523;2,12037;0,96288;0,98526;0,70000;0,70000;
22.02.2019;10:33:10,00000;-0,05279;-0,05039;2,07754;2,12407;0,96610;0,98385;0,70000;0,70000;
22.02.2019;10:33:11,00000;-0,05227;-0,04988;2,07986;2,12777;0,96828;0,98825;0,70000;0,70000;
22.02.2019;10:33:12,00000;-0,05192;-0,04964;2,08217;2,13148;0,97064;0,98856;0,70000;0,70000;
22.02.2019;10:33:13,00000;-0,05155;-0,04926;2,08449;2,13518;0,96980;0,99245;0,70000;0,70000;
22.02.2019;10:33:14,00000;-0,05108;-0,04884;2,08680;2,13889;0,97099;0,98963;0,70000;0,70000;
22.02.2019;10:33:15,00000;-0,05053;-0,04835;2,08912;2,14259;0,97268;0,99301;0,70000;0,70000;
22.02.2019;10:33:16,00000;-0,05034;-0,04791;2,09143;2,14629;0,97731;0,99648;0,70000;0,70000;
22.02.2019;10:33:17,00000;-0,04983;-0,04758;2,09375;2,15000;0,97963;0,99808;0,70000;0,70000;
22.02.2019;10:33:18,00000;-0,04938;-0,04719;2,09606;2,15370;0,97871;0,99422;0,70000;0,70000;
22.02.2019;10:33:19,00000;-0,04902;-0,04666;2,09838;2,15740;0,98257;0,99920;0,70000;0,70000;
22.02.2019;10:33:20,00000;-0,04875;-0,04626;2,10069;2,16111;0,98114;1,00003;0,70000;0,70000;
22.02.2019;10:33:21,00000;-0,04853;-0,04594;2,10301;2,16481;0,98367;0,99553;0,70000;0,70000;
22.02.2019;10:33:22,00000;-0,04823;-0,04545;2,10532;2,16851;0,98651;1,00983;0,70000;0,70000;
22.02.2019;10:33:23,00000;-0,04794;-0,04522;2,10764;2,17222;0,98816;1,00735;0,70000;0,70000;
22.02.2019;10:33:24,00000;-0,04759;-0,04470;2,10995;2,17592;0,98863;1,00659;0,70000;0,70000;
22.02.2019;10:33:25,00000;-0,04730;-0,04435;2,11227;2,17963;0,99094;1,01109;0,70000;0,70000;
22.02.2019;10:33:26,00000;-0,04695;-0,04388;2,11458;2,18333;0,98496;1,01044;0,70000;0,70000;
22.02.2019;10:33:27,00000;-0,04655;-0,04362;2,11690;2,18703;0,99190;1,01321;0,70000;0,70000;
22.02.2019;10:33:28,00000;-0,04621;-0,04312;2,11921;2,19074;0,99367;1,01719;0,70000;0,70000;
22.02.2019;10:33:29,00000;-0,04590;-0,04285;2,12153;2,19444;1,00288;1,01771;0,70000;0,70000;
22.02.2019;10:33:30,00000;-0,04554;-0,04228;2,12384;2,19814;1,00324;1,01451;0,70000;0,70000;
22.02.2019;10:33:31,00000;-0,04535;-0,04186;2,12616;2,20185;1,00715;1,02370;0,70000;0,70000;
22.02.2019;10:33:32,00000;-0,04500;-0,04152;2,12847;2,20555;1,00278;1,01843;0,70000;0,70000;
22.02.2019;10:33:33,00000;-0,04445;-0,04109;2,13078;2,20926;1,00359;1,02588;0,70000;0,70000;
22.02.2019;10:33:34,00000;-0,04433;-0,04071;2,13310;2,21296;1,00885;1,01998;0,70000;0,70000;
22.02.2019;10:33:35,00000;-0,04384;-0,04021;2,13541;2,21666;1,01569;1,03026;0,70000;0,70000;
22.02.2019;10:33:36,00000;-0,04354;-0,03990;2,13773;2,22037;1,01564;1,03198;0,70000;0,70000;
22.02.2019;10:33:37,00000;-0,04335;-0,03955;2,14004;2,22407;1,00999;1,03607;0,70000;0,70000;
22.02.2019;10:33:38,00000;-0,04300;-0,03927;2,14236;2,22777;1,01456;1,03860;0,70000;0,70000;
22.02.2019;10:33:39,00000;-0,04253;-0,03883;2,14467;2,23148;1,02198;1,04030;0,70000;0,70000;
22.02.2019;10:33:40,00000;-0,04231;-0,03846;2,14699;2,23518;1,02526;1,03975;0,70000;0,70000;
22.02.2019;10:33:41,00000;-0,04195;-0,03806;2,14930;2,23889;1,02749;1,04629;0,70000;0,70000;
22.02.2019;10:33:42,00000;-0,04164;-0,03759;2,15162;2,24259;1,02855;1,04229;0,70000;0,70000;
22.02.2019;10:33:43,00000;-0,04136;-0,03715;2,15393;2,24629;1,03243;1,04985;0,70000;0,70000;
22.02.2019;10:33:44,00000;-0,04113;-0,03684;2,15625;2,25000;1,03460;1,03980;0,70000;0,70000;
22.02.2019;10:33:45,00000;-0,04065;-0,03640;2,15856;2,25370;1,03718;1,05485;0,70000;0,70000;
22.02.2019;10:33:46,00000;-0,04045;-0,03603;2,16088;2,25740;1,03586;1,05281;0,70000;0,70000;
22.02.2019;10:33:47,00000;-0,04016;-0,03559;2,16319;2,26111;1,03965;1,05795;0,70000;0,70000;
22.02.2019;10:33:48,00000;-0,03985;-0,03512;2,16551;2,26481;1,04378;1,06070;0,70000;0,70000;
22.02.2019;10:33:49,00000;-0,03949;-0,03475;2,16782;2,26851;1,04458;1,06498;0,70000;0,70000;
