Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 16
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;Wellentemp 1 [];Fluidtemp 1 [];Wellentemp 2 [];Fluidtemp 2 [];Moment 1 [];Moment 2 [];Moment 1 min mittel [];Moment 1 max Mittel [];Standaradabw M1 [];Moment 2 min Mittel [];Moment 2 max Mittel [];Standaradabw M2 [V];Ventilspannung1 [V];Ventilspannung2 [V];Drehzahl1 [V];Drehzahl2 [V];
22.02.2019;10:32:36,00000;0,076;0,355;0,452;-0,016;-0,041;-0,043;-0,044;-0,039;0,001;-0,047;-0,040;0,002;1,000;1,000;-160,255;-167,332;
22.02.2019;10:32:37,00000;21,209;20,285;20,889;20,759;1,566;2,968;1,348;1,758;0,159;2,895;3,027;0,053;0,005;0,005;-3,500;-0,477;
22.02.2019;10:32:38,00000;21,180;20,222;20,895;20,736;1,405;2,914;1,351;1,424;0,021;2,896;2,921;0,006;0,015;0,015;-1,640;1,879;
22.02.2019;10:32:39,00000;21,190;20,230;20,910;20,756;1,417;2,939;1,410;1,422;0,004;2,914;2,949;0,011;0,025;0,025;-2,012;1,650;
22.02.2019;10:32:40,00000;21,176;20,220;20,901;20,756;1,421;2,937;1,415;1,424;0,003;2,926;2,943;0,005;0,035;0,035;-2,117;1,574;
22.02.2019;10:32:41,00000;21,162;20,202;20,880;20,714;13,308;13,299;3,314;17,977;4,589;4,568;17,582;4,077;0,045;0,045;-3,757;-0,982;
22.02.2019;10:32:42,00000;20,089;18,784;19,821;19,161;13,308;13,299;3,314;17,977;4,589;4,568;17,582;4,077;0,055;0,055;-5,054;-0,620;
22.02.2019;10:32:43,00000;20,132;18,634;19,730;19,199;19,834;19,240;17,984;21,164;0,972;17,588;20,400;0,848;0,065;0,065;-6,514;-1,812;
22.02.2019;10:32:44,00000;20,085;18,580;19,752;19,165;21,786;21,082;21,167;22,104;0,292;20,403;21,483;0,341;0,075;0,075;-4,549;-0,029;
22.02.2019;10:32:45,00000;20,165;18,720;19,769;19,224;21,906;21,247;21,739;22,101;0,115;21,030;21,478;0,140;0,085;0,085;-4,520;0,448;
22.02.2019;10:32:46,00000;20,093;18,766;19,753;19,200;21,626;20,994;21,409;21,739;0,094;20,952;21,030;0,019;0,095;0,095;-3,347;0,887;
22.02.2019;10:32:47,00000;20,187;18,902;19,912;19,292;21,257;20,901;21,165;21,408;0,065;20,876;20,951;0,022;0,105;0,105;-4,568;-1,326;
22.02.2019;10:32:48,00000;20,196;18,835;19,901;19,225;21,117;20,874;21,060;21,165;0,026;20,810;20,946;0,048;0,115;0,115;-2,489;1,354;
22.02.2019;10:32:49,00000;20,284;18,857;20,049;19,271;20,997;20,768;20,970;21,059;0,027;20,703;20,810;0,033;0,125;0,125;-4,292;1,259;
22.02.2019;10:32:50,00000;20,318;18,840;20,009;19,259;20,913;20,706;20,824;20,972;0,046;20,682;20,733;0,018;0,135;0,135;-3,319;1,078;
22.02.2019;10:32:51,00000;20,353;18,942;20,024;19,438;20,791;20,638;20,753;20,823;0,014;20,574;20,698;0,032;0,145;0,145;-2,947;1,507;
22.02.2019;10:32:52,00000;20,335;18,909;20,103;19,265;20,720;20,563;20,691;20,752;0,015;20,526;20,578;0,015;0,155;0,155;-2,947;2,222;
22.02.2019;10:32:53,00000;20,417;18,997;20,200;19,270;20,611;20,483;20,586;20,690;0,027;20,460;20,526;0,016;0,165;0,165;-2,584;1,421;
22.02.2019;10:32:54,00000;20,306;18,950;20,221;19,393;20,560;20,447;20,529;20,586;0,011;20,421;20,460;0,010;0,175;0,175;-2,794;2,651;
22.02.2019;10:32:55,00000;20,484;18,941;20,224;19,432;20,496;20,400;20,455;20,529;0,017;20,362;20,421;0,012;0,185;0,185;-4,177;0,830;
22.02.2019;10:32:56,00000;20,539;18,978;20,368;19,393;20,438;20,327;20,423;20,454;0,006;20,316;20,362;0,011;0,195;0,195;-3,672;2,623;
22.02.2019;10:32:57,00000;20,631;19,096;20,339;19,414;20,333;20,275;20,285;20,423;0,046;20,220;20,316;0,032;0,205;0,205;-4,015;1,202;
22.02.2019;10:32:58,00000;20,753;19,027;20,562;19,310;20,303;20,231;20,253;20,338;0,029;20,220;20,240;0,006;0,215;0,215;-2,890;2,203;
22.02.2019;10:32:59,00000;20,716;19,033;20,594;19,476;20,253;20,204;20,215;20,267;0,013;20,177;20,233;0,022;0,225;0,225;-3,366;0,610;
22.02.2019;10:33:00,00000;20,679;19,061;20,588;19,401;20,204;20,148;20,199;20,215;0,003;20,095;20,203;0,043;0,235;0,235;-3,548;1,163;
22.02.2019;10:33:01,00000;20,870;19,122;20,642;19,532;20,164;20,133;20,136;20,207;0,024;20,095;20,149;0,015;0,245;0,245;-3,710;0,496;
22.02.2019;10:33:02,00000;20,845;19,084;20,639;19,472;20,157;20,116;20,142;20,172;0,011;20,068;20,154;0,026;0,255;0,255;-2,956;1,545;
22.02.2019;10:33:03,00000;20,994;19,083;20,777;19,608;20,110;20,078;20,089;20,147;0,013;20,062;20,096;0,012;0,265;0,265;-4,396;0,448;
22.02.2019;10:33:04,00000;21,033;19,171;20,796;19,578;20,083;20,064;20,066;20,101;0,010;20,058;20,071;0,004;0,275;0,275;-3,080;1,659;
22.02.2019;10:33:05,00000;21,113;19,190;20,845;19,569;20,023;20,047;20,008;20,065;0,017;20,028;20,063;0,012;0,285;0,285;-3,710;0,362;
22.02.2019;10:33:06,00000;21,126;19,201;20,912;19,639;20,018;20,022;19,943;20,047;0,030;19,990;20,059;0,020;0,295;0,295;-0,734;3,605;
22.02.2019;10:33:07,00000;21,206;19,288;20,929;19,545;19,958;20,070;19,937;19,976;0,013;19,990;20,177;0,062;0,305;0,305;-5,713;0,782;
22.02.2019;10:33:08,00000;21,276;19,294;21,010;19,645;19,945;20,160;19,878;19,988;0,041;20,138;20,185;0,017;0,315;0,315;-2,747;0,525;
22.02.2019;10:33:09,00000;21,304;19,258;20,999;19,705;19,877;20,150;19,861;19,884;0,006;20,133;20,174;0,015;0,325;0,325;-3,386;1,278;
22.02.2019;10:33:10,00000;21,344;19,322;21,004;19,677;19,829;20,107;19,792;19,861;0,014;20,090;20,135;0,011;0,335;0,335;-2,632;2,108;
22.02.2019;10:33:11,00000;21,396;19,366;21,168;19,765;19,779;20,081;19,758;19,801;0,015;20,055;20,115;0,017;0,345;0,345;-4,406;1,249;
22.02.2019;10:33:12,00000;21,433;19,413;21,150;19,771;19,757;20,102;19,739;19,798;0,018;20,076;20,126;0,018;0,355;0,355;-2,842;3,643;
22.02.2019;10:33:13,00000;21,493;19,396;21,241;19,849;19,735;20,099;19,718;19,747;0,007;20,065;20,131;0,025;0,365;0,365;-2,861;1,326;
22.02.2019;10:33:14,00000;21,494;19,420;21,194;19,793;19,692;20,087;19,629;19,718;0,025;20,063;20,106;0,013;0,375;0,375;-4,511;0,830;
22.02.2019;10:33:15,00000;21,493;19,454;21,075;19,860;19,632;20,062;19,603;19,660;0,022;20,048;20,088;0,013;0,385;0,385;-3,967;1,173;
22.02.2019;10:33:16,00000;21,573;19,546;21,304;19,930;19,644;20,048;19,637;19,655;0,006;20,028;20,087;0,018;0,395;0,395;-2,365;0,620;
22.02.2019;10:33:17,00000;21,642;19,593;21,322;19,962;19,592;20,052;19,561;19,653;0,030;20,036;20,071;0,014;0,405;0,405;-4,339;0,925;
22.02.2019;10:33:18,00000;21,628;19,574;21,415;19,884;19,553;20,046;19,541;19,567;0,005;20,039;20,052;0,004;0,415;0,415;-1,907;1,240;
22.02.2019;10:33:19,00000;21,653;19,651;21,429;19,984;19,530;20,013;19,517;19,547;0,009;19,981;20,044;0,021;0,425;0,425;-4,215;-0,172;
22.02.2019;10:33:20,00000;21,705;19,623;21,283;20,001;19,524;20,005;19,486;19,552;0,026;19,981;20,021;0,013;0,435;0,435;-2,909;1,163;
22.02.2019;10:33:21,00000;21,735;19,673;21,486;19,911;19,528;20,013;19,492;19,547;0,014;19,990;20,020;0,007;0,445;0,445;-4,368;1,755;
22.02.2019;10:33:22,00000;21,794;19,730;21,475;20,197;19,516;19,986;19,495;19,533;0,012;19,970;20,003;0,011;0,455;0,455;-3,691;1,659;
22.02.2019;10:33:23,00000;21,818;19,763;21,548;20,147;19,506;20,010;19,490;19,525;0,013;19,981;20,023;0,012;0,465;0,465;-4,129;1,183;
22.02.2019;10:33:24,00000;21,883;19,773;21,507;20,132;19,486;19,981;19,470;19,519;0,014;19,957;20,022;0,021;0,475;0,475;-2,737;2,403;
22.02.2019;10:33:25,00000;21,844;19,819;21,621;20,222;19,474;19,977;19,444;19,494;0,013;19,947;20,022;0,021;0,485;0,485;-2,947;1,249;
22.02.2019;10:33:26,00000;21,860;19,699;21,574;20,209;19,451;19,955;19,428;19,471;0,014;19,946;19,964;0,006;0,495;0,495;-3,004;1,945;
22.02.2019;10:33:27,00000;21,934;19,838;21,684;20,264;19,422;19,974;19,413;19,428;0,005;19,934;20,007;0,024;0,505;0,505;-2,155;1,965;
22.02.2019;10:33:28,00000;21,883;19,873;21,693;20,344;19,402;19,945;19,375;19,428;0,018;19,924;19,994;0,020;0,515;0,515;-3,862;1,593;
22.02.2019;10:33:29,00000;22,031;20,058;21,733;20,354;19,388;19,961;19,368;19,419;0,013;19,921;20,004;0,033;0,525;0,525;-3,147;-0,305;
22.02.2019;10:33:30,00000;21,969;20,065;21,770;20,290;19,365;19,922;19,333;19,399;0,022;19,899;19,939;0,012;0,535;0,535;-2,880;2,441;
22.02.2019;10:33:31,00000;22,038;20,143;21,791;20,474;19,373;19,908;19,332;19,419;0,032;19,882;19,929;0,015;0,545;0,545;-3,929;2,241;
22.02.2019;10:33:32,00000;21,974;20,056;21,792;20,369;19,349;19,910;19,296;19,384;0,030;19,882;19,929;0,014;0,555;0,555;-3,738;1,869;
22.02.2019;10:33:33,00000;22,144;20,072;21,881;20,518;19,288;19,893;19,276;19,297;0,008;19,881;19,901;0,004;0,565;0,565;-3,004;-0,124;
22.02.2019;10:33:34,00000;22,028;20,177;21,868;20,400;19,311;19,887;19,297;19,323;0,009;19,865;19,900;0,010;0,575;0,575;-4,358;1,135;
22.02.2019;10:33:35,00000;22,144;20,314;21,877;20,605;19,261;19,858;19,230;19,297;0,024;19,830;19,891;0,022;0,585;0,585;-4,311;-0,820;
22.02.2019;10:33:36,00000;22,059;20,313;21,764;20,640;19,250;19,866;19,226;19,260;0,009;19,849;19,891;0,014;0,595;0,595;-3,147;0,601;
22.02.2019;10:33:37,00000;22,032;20,200;21,941;20,722;19,256;19,865;19,223;19,289;0,024;19,842;19,891;0,016;0,605;0,605;-3,109;1,097;
22.02.2019;10:33:38,00000;22,068;20,291;21,917;20,772;19,234;19,878;19,205;19,251;0,012;19,863;19,897;0,012;0,615;0,615;-3,338;-0,257;
22.02.2019;10:33:39,00000;22,117;20,440;21,990;20,806;19,189;19,863;19,171;19,205;0,010;19,837;19,895;0,017;0,625;0,625;-3,757;-0,286;
22.02.2019;10:33:40,00000;22,067;20,505;22,025;20,795;19,189;19,855;19,181;19,196;0,005;19,837;19,865;0,010;0,635;0,635;-2,775;1,230;
22.02.2019;10:33:41,00000;22,111;20,550;21,981;20,926;19,165;19,847;19,157;19,183;0,006;19,829;19,862;0,009;0,645;0,645;-2,680;0,544;
22.02.2019;10:33:42,00000;22,115;20,571;22,058;20,846;19,150;19,824;19,141;19,166;0,008;19,813;19,838;0,008;0,655;0,655;-2,222;1,907;
22.02.2019;10:33:43,00000;22,157;20,649;22,097;20,997;19,140;19,806;19,133;19,165;0,008;19,792;19,822;0,008;0,665;0,665;-4,950;0,925;
22.02.2019;10:33:44,00000;22,060;20,692;22,079;20,796;19,141;19,814;19,109;19,174;0,024;19,797;19,836;0,014;0,675;0,675;-2,069;1,516;
22.02.2019;10:33:45,00000;22,133;20,744;22,067;21,097;19,094;19,795;19,072;19,113;0,015;19,783;19,823;0,009;0,685;0,685;-3,700;1,144;
22.02.2019;10:33:46,00000;22,106;20,717;22,094;21,056;19,100;19,791;19,084;19,121;0,012;19,772;19,803;0,008;0,695;0,695;-2,079;0,820;
22.02.2019;10:33:47,00000;22,167;20,793;22,191;21,159;19,089;19,774;19,032;19,121;0,033;19,757;19,787;0,010;0,705;0,705;-3,357;-0,229;
22.02.2019;10:33:48,00000;22,171;20,876;22,210;21,214;19,072;19,750;19,033;19,112;0,027;19,741;19,774;0,008;0,715;0,715;-3,138;1,287;
22.02.2019;10:33:49,00000;22,131;20,892;22,256;21,300;19,048;19,745;19,029;19,066;0,012;19,720;19,756;0,009;0,725;0,725;-4,349;0,391;
22.02.2019;10:33:50,00000;22,174;20,958;22,251;21,215;19,024;19,682;19,012;19,033;0,005;19,655;19,719;0,018;0,735;0,735;-2,804;1,593;
22.02.2019;10:33:51,00000;22,286;21,084;22,311;21,348;19,016;19,683;19,003;19,030;0,009;19,657;19,702;0,016;0,745;0,745;-3,510;0,229;
22.02.2019;10:33:52,00000;22,153;21,087;22,242;21,423;19,040;19,693;18,996;19,067;0,021;19,679;19,708;0,009;0,755;0,755;-3,548;2,232;
22.02.2019;10:33:53,00000;22,225;21,136;22,363;21,483;18,988;19,659;18,964;19,001;0,011;19,645;19,686;0,010;0,765;0,765;-2,775;1,278;
22.02.2019;10:33:54,00000;22,304;21,256;22,311;21,442;18,961;19,652;18,950;18,980;0,009;19,629;19,669;0,014;0,775;0,775;-2,871;1,040;
22.02.2019;10:33:55,00000;22,228;21,303;22,418;21,557;18,976;19,643;18,965;18,990;0,008;19,630;19,668;0,012;0,785;0,785;-4,921;0,744;
