Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 9
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;n soll [V];T1 soll [V];T2 soll [V];Heizenergie_Spez_1 [-];Heizenergie_Spez_2 [-];Heizenergie_Zeit_1 [-];Heizenergie_Zeit_2 [-];n_IST_Antriebsmotor [min-1];n_Out_Umrichter [min-1];
22.02.2019;10:32:36,00000;4000,170;70,083;70,083;0,000;0,000;0,000;0,000;-1,77207;4,30017;
22.02.2019;10:32:37,00000;3111,244;40,023;40,037;0,000;0,000;0,000;0,000;15,21768;3,28157;
22.02.2019;10:32:38,00000;3111,244;40,069;40,111;0,000;0,000;0,000;0,000;22,53837;3,31211;
22.02.2019;10:32:39,00000;3111,244;40,116;40,185;0,000;0,000;0,000;0,000;23,12407;3,34297;
22.02.2019;10:32:40,00000;3111,244;40,162;40,259;0,938;0,938;0,938;0,938;22,16188;3,37390;
22.02.2019;10:32:41,00000;3111,244;40,208;40,333;0,199;0,199;1,199;1,199;358,99713;3,40339;
22.02.2019;10:32:42,00000;3111,244;40,255;40,407;0,969;0,969;2,168;2,168;358,99713;3,40523;
22.02.2019;10:32:43,00000;3111,244;40,301;40,481;0,199;0,199;2,398;2,398;1493,60571;3,37011;
22.02.2019;10:32:44,00000;3111,244;40,347;40,555;0,938;0,938;3,336;3,336;2672,74316;3,32140;
22.02.2019;10:32:45,00000;3111,244;40,393;40,630;0,199;0,199;3,598;3,598;3324,42896;3,28898;
22.02.2019;10:32:46,00000;3111,244;40,440;40,704;0,938;0,938;4,535;4,535;3308,01611;3,28774;
22.02.2019;10:32:47,00000;3111,244;40,486;40,778;0,199;0,199;4,797;4,797;3304,41626;3,28597;
22.02.2019;10:32:48,00000;3111,244;40,532;40,852;0,938;0,938;5,734;5,734;3296,99097;3,28445;
22.02.2019;10:32:49,00000;3111,244;40,579;40,926;0,199;0,199;5,996;5,996;3299,86011;3,28243;
22.02.2019;10:32:50,00000;3111,244;40,625;41,000;0,938;0,938;6,934;6,934;3299,10962;3,28059;
22.02.2019;10:32:51,00000;3111,244;40,671;41,074;0,199;0,199;7,195;7,195;3299,30347;3,27869;
22.02.2019;10:32:52,00000;3111,244;40,718;41,148;0,938;0,938;8,133;8,133;3296,32178;3,27699;
22.02.2019;10:32:53,00000;3111,244;40,764;41,222;0,199;0,199;8,395;8,395;3293,20337;3,27530;
22.02.2019;10:32:54,00000;3111,244;40,810;41,296;0,938;0,938;9,332;9,332;3294,77441;3,27339;
22.02.2019;10:32:55,00000;3111,244;40,856;41,370;0,199;0,199;9,594;9,594;3288,01904;3,27194;
22.02.2019;10:32:56,00000;3111,244;40,903;41,444;0,938;0,938;10,531;10,531;3290,94727;3,26999;
22.02.2019;10:32:57,00000;3111,244;40,949;41,518;0,199;0,199;10,793;10,793;3285,52441;3,26852;
22.02.2019;10:32:58,00000;3111,244;40,995;41,593;0,938;0,938;11,730;11,730;3287,41919;3,26665;
22.02.2019;10:32:59,00000;3111,244;41,042;41,667;0,199;0,199;11,992;11,992;3284,35278;3,26506;
22.02.2019;10:33:00,00000;3111,244;41,088;41,741;0,938;0,938;12,930;12,930;3277,91528;3,26369;
22.02.2019;10:33:01,00000;3111,244;41,134;41,815;0,199;0,199;13,191;13,191;3283,12036;3,26174;
22.02.2019;10:33:02,00000;3111,244;41,181;41,889;0,938;0,938;14,129;14,129;3273,83325;3,26053;
22.02.2019;10:33:03,00000;3111,244;41,227;41,963;0,199;0,199;14,391;14,391;3266,58374;3,25928;
22.02.2019;10:33:04,00000;3111,244;41,273;42,037;0,938;0,938;15,328;15,328;3274,84570;3,25732;
