Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 8
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;Sta1 [-];Rich1 [-];U1 [-];Sta2 [-];Rich2 [-];U2 [-];Linienlast1 [N/mm];Linienlast2 [N/mm];
22.02.2019;10:32:36,00000;5,00000;0,00000;5,00000;5,00000;0,00000;10,00000;-0,06395;-0,06249;
22.02.2019;10:32:37,00000;0,00000;4,99023;5,00000;3,70117;0,00000;10,00000;0,14231;0,13441;
22.02.2019;10:32:38,00000;0,00000;5,00000;5,00000;0,00000;0,00000;10,00000;0,14190;0,13977;
22.02.2019;10:32:39,00000;0,00000;5,00000;5,00000;0,00000;0,00000;10,00000;0,14180;0,13995;
22.02.2019;10:32:40,00000;0,00000;5,00000;5,00000;0,00000;0,00000;10,00000;0,14200;0,13991;
22.02.2019;10:32:41,00000;0,00000;5,00000;5,00000;0,00000;0,42969;10,00000;0,14213;0,14818;
22.02.2019;10:32:42,00000;0,00000;5,00000;5,00000;4,11133;5,00000;10,00000;0,14213;0,14818;
22.02.2019;10:32:43,00000;0,00000;5,00000;5,00000;0,30273;2,58789;10,00000;0,14218;0,14041;
22.02.2019;10:32:44,00000;0,00000;5,00000;5,00000;0,00000;0,00000;10,00000;0,14168;0,13762;
22.02.2019;10:32:45,00000;0,17578;5,00000;5,00000;0,00000;0,00000;10,00000;0,14163;0,13727;
22.02.2019;10:32:46,00000;4,23828;5,00000;5,00000;0,00000;0,00000;10,00000;0,14411;0,13719;
22.02.2019;10:32:47,00000;0,00000;0,94727;5,00000;1,60156;0,00000;10,00000;0,13781;0,13678;
22.02.2019;10:32:48,00000;0,00000;0,91797;5,00000;0,00000;0,00000;10,00000;0,13868;0,13955;
22.02.2019;10:32:49,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13730;0,13897;
22.02.2019;10:32:50,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13742;0,13867;
22.02.2019;10:32:51,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13742;0,13826;
22.02.2019;10:32:52,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13780;0,13872;
22.02.2019;10:32:53,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13705;0,13830;
22.02.2019;10:32:54,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13808;0,13824;
22.02.2019;10:32:55,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13835;0,13843;
22.02.2019;10:32:56,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13790;0,13824;
22.02.2019;10:32:57,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13816;0,13824;
22.02.2019;10:32:58,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13697;0,13805;
22.02.2019;10:32:59,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13804;0,13822;
22.02.2019;10:33:00,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13775;0,13834;
22.02.2019;10:33:01,00000;1,18164;0,00000;5,00000;0,00000;0,00000;10,00000;0,13720;0,13811;
22.02.2019;10:33:02,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13912;0,13799;
22.02.2019;10:33:03,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13910;0,13789;
22.02.2019;10:33:04,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13894;0,13797;
22.02.2019;10:33:05,00000;0,00000;0,97656;5,00000;0,00000;0,00000;10,00000;0,13968;0,13780;
22.02.2019;10:33:06,00000;0,00000;0,43945;5,00000;0,13672;0,00000;10,00000;0,13871;0,13780;
22.02.2019;10:33:07,00000;0,00000;0,00000;5,00000;1,93359;0,00000;10,00000;0,13966;0,13858;
22.02.2019;10:33:08,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13926;0,14105;
