Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 8
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;Sta1 [-];Rich1 [-];U1 [-];Sta2 [-];Rich2 [-];U2 [-];Linienlast1 [N/mm];Linienlast2 [N/mm];
15.02.2019;18:17:16,00000;0,17292;0,17293;3,50416;3,50416;0,01774;-0,00082;0,70000;0,70000;
15.02.2019;18:17:17,00000;0,17236;0,17076;3,50000;3,50000;1,04316;1,08434;0,70000;0,70000;
15.02.2019;18:17:18,00000;0,17230;0,17062;3,50000;3,50000;1,04232;1,08122;0,70000;0,70000;
15.02.2019;18:17:19,00000;0,17225;0,17054;3,50000;3,50000;1,04392;1,08273;0,70000;0,70000;
15.02.2019;18:17:20,00000;0,17221;0,17050;3,50000;3,50000;1,04509;1,08347;0,70000;0,70000;
15.02.2019;18:17:21,00000;0,16801;0,16596;3,50000;3,50000;1,03924;1,07642;0,70000;0,70000;
15.02.2019;18:17:22,00000;0,10222;0,09812;3,50000;3,50000;0,97923;1,01463;0,70000;0,70000;
15.02.2019;18:17:23,00000;0,09444;0,09097;3,50000;3,50000;0,98936;1,02246;0,70000;0,70000;
15.02.2019;18:17:24,00000;0,09714;0,08961;3,50000;3,50000;0,98978;1,02219;0,70000;0,70000;
15.02.2019;18:17:25,00000;0,09886;0,09001;3,50000;3,50000;0,99057;1,01842;0,70000;0,70000;
15.02.2019;18:17:26,00000;0,10008;0,09149;3,50000;3,50000;0,99177;1,02536;0,70000;0,70000;
15.02.2019;18:17:27,00000;0,10089;0,09270;3,50000;3,50000;0,99121;1,03001;0,70000;0,70000;
15.02.2019;18:17:28,00000;0,10180;0,09367;3,50000;3,50000;0,99419;1,02240;0,70000;0,70000;
15.02.2019;18:17:29,00000;0,10236;0,09457;3,50000;3,50000;0,99712;1,02583;0,70000;0,70000;
15.02.2019;18:17:30,00000;0,10287;0,09532;3,50000;3,50000;0,99515;1,02669;0,70000;0,70000;
15.02.2019;18:17:31,00000;0,10332;0,09610;3,50000;3,50000;0,99926;1,02901;0,70000;0,70000;
15.02.2019;18:17:32,00000;0,10371;0,09655;3,50000;3,50000;0,99697;1,03435;0,70000;0,70000;
15.02.2019;18:17:33,00000;0,10402;0,09697;3,50000;3,50000;0,99708;1,03146;0,70000;0,70000;
15.02.2019;18:17:34,00000;0,10430;0,09748;3,50000;3,50000;0,99460;1,02798;0,70000;0,70000;
15.02.2019;18:17:35,00000;0,10452;0,09790;3,50000;3,50000;0,99325;1,03264;0,70000;0,70000;
15.02.2019;18:17:36,00000;0,10493;0,09835;3,50000;3,50000;0,99578;1,03321;0,70000;0,70000;
15.02.2019;18:17:37,00000;0,10516;0,09866;3,50000;3,50000;0,99518;1,03225;0,70000;0,70000;
15.02.2019;18:17:38,00000;0,10526;0,09911;3,50000;3,50000;1,00112;1,02845;0,70000;0,70000;
15.02.2019;18:17:39,00000;0,10554;0,09939;3,50000;3,50000;0,99958;1,02920;0,70000;0,70000;
15.02.2019;18:17:40,00000;0,10573;0,09970;3,50000;3,50000;1,00064;1,03488;0,70000;0,70000;
15.02.2019;18:17:41,00000;0,10589;0,10006;3,50000;3,50000;0,99895;1,03847;0,70000;0,70000;
15.02.2019;18:17:42,00000;0,10600;0,10031;3,50000;3,50000;0,99783;1,03568;0,70000;0,70000;
15.02.2019;18:17:43,00000;0,10623;0,10071;3,50000;3,50000;1,00804;1,03632;0,70000;0,70000;
15.02.2019;18:17:44,00000;0,10651;0,10090;3,50000;3,50000;1,00588;1,03731;0,70000;0,70000;
15.02.2019;18:17:45,00000;0,10659;0,10111;3,50000;3,50000;1,00352;1,03888;0,70000;0,70000;
15.02.2019;18:17:46,00000;0,10676;0,10136;3,50000;3,50000;1,00548;1,03527;0,70000;0,70000;
15.02.2019;18:17:47,00000;0,10687;0,10157;3,50000;3,50000;1,00765;1,03962;0,70000;0,70000;
15.02.2019;18:17:48,00000;0,10701;0,10181;3,50000;3,50000;1,00959;1,03779;0,70000;0,70000;
15.02.2019;18:17:49,00000;0,10718;0,10194;3,50000;3,50000;1,00925;1,04204;0,70000;0,70000;
15.02.2019;18:17:50,00000;0,10729;0,10218;3,50000;3,50000;1,00674;1,03681;0,70000;0,70000;
15.02.2019;18:17:51,00000;0,10742;0,10230;3,50000;3,50000;1,01181;1,04120;0,70000;0,70000;
15.02.2019;18:17:52,00000;0,10745;0,10246;3,50000;3,50000;1,00950;1,04670;0,70000;0,70000;
15.02.2019;18:17:53,00000;0,10771;0,10262;3,50000;3,50000;1,01100;1,04399;0,70000;0,70000;
15.02.2019;18:17:54,00000;0,10776;0,10282;3,50000;3,50000;1,01225;1,04634;0,70000;0,70000;
15.02.2019;18:17:55,00000;0,10775;0,10294;3,50000;3,50000;1,01763;1,04338;0,70000;0,70000;
15.02.2019;18:17:56,00000;0,10784;0,10319;3,50000;3,50000;1,01080;1,04382;0,70000;0,70000;
15.02.2019;18:17:57,00000;0,10795;0,10340;3,50000;3,50000;1,01541;1,04681;0,70000;0,70000;
15.02.2019;18:17:58,00000;0,10815;0,10335;3,50000;3,50000;1,01536;1,05078;0,70000;0,70000;
15.02.2019;18:17:59,00000;0,10815;0,10293;3,50000;3,50000;1,02008;1,05591;0,70000;0,70000;
15.02.2019;18:18:00,00000;0,10821;0,10306;3,50000;3,50000;1,01930;1,05373;0,70000;0,70000;
15.02.2019;18:18:01,00000;0,10832;0,10321;3,50000;3,50000;1,01982;1,05525;0,70000;0,70000;
15.02.2019;18:18:02,00000;0,10841;0,10325;3,50000;3,50000;1,01852;1,05605;0,70000;0,70000;
15.02.2019;18:18:03,00000;0,10843;0,10332;3,50000;3,50000;1,02249;1,05665;0,70000;0,70000;
15.02.2019;18:18:04,00000;0,10851;0,10344;3,50000;3,50000;1,02442;1,05782;0,70000;0,70000;
15.02.2019;18:18:05,00000;0,10857;0,10355;3,50000;3,50000;1,02639;1,05810;0,70000;0,70000;
15.02.2019;18:18:06,00000;0,10870;0,10368;3,50000;3,50000;1,02566;1,06234;0,70000;0,70000;
15.02.2019;18:18:07,00000;0,10876;0,10370;3,50000;3,50000;1,02757;1,05868;0,70000;0,70000;
15.02.2019;18:18:08,00000;0,10883;0,10383;3,50000;3,50000;1,02697;1,06233;0,70000;0,70000;
15.02.2019;18:18:09,00000;0,10892;0,10389;3,50000;3,50000;1,02699;1,06607;0,70000;0,70000;
15.02.2019;18:18:10,00000;0,10897;0,10402;3,50000;3,50000;1,02839;1,06759;0,70000;0,70000;
15.02.2019;18:18:11,00000;0,10907;0,10416;3,50000;3,50000;1,03279;1,06927;0,70000;0,70000;
15.02.2019;18:18:12,00000;0,10918;0,10428;3,50000;3,50000;1,02970;1,06745;0,70000;0,70000;
15.02.2019;18:18:13,00000;0,10922;0,10432;3,50000;3,50000;1,03280;1,06453;0,70000;0,70000;
15.02.2019;18:18:14,00000;0,10928;0,10446;3,50000;3,50000;1,03437;1,06924;0,70000;0,70000;
15.02.2019;18:18:15,00000;0,10934;0,10456;3,50000;3,50000;1,03404;1,07679;0,70000;0,70000;
15.02.2019;18:18:16,00000;0,10941;0,10460;3,50000;3,50000;1,03741;1,07876;0,70000;0,70000;
15.02.2019;18:18:17,00000;0,10942;0,10460;3,50000;3,50000;1,04042;1,07733;0,70000;0,70000;
15.02.2019;18:18:18,00000;0,10946;0,10478;3,50000;3,50000;1,04392;1,08060;0,70000;0,70000;
15.02.2019;18:18:19,00000;0,10955;0,10485;3,50000;3,50000;1,04268;1,08003;0,70000;0,70000;
15.02.2019;18:18:20,00000;0,10972;0,10492;3,50000;3,50000;1,04483;1,08384;0,70000;0,70000;
15.02.2019;18:18:21,00000;0,10960;0,10490;3,50000;3,50000;1,04478;1,08091;0,70000;0,70000;
15.02.2019;18:18:22,00000;0,10965;0,10513;3,50000;3,50000;1,04432;1,08762;0,70000;0,70000;
15.02.2019;18:18:23,00000;0,10972;0,10519;3,50000;3,50000;1,04385;1,09134;0,70000;0,70000;
15.02.2019;18:18:24,00000;0,10984;0,10526;3,50000;3,50000;1,04992;1,08817;0,70000;0,70000;
15.02.2019;18:18:25,00000;0,10992;0,10529;3,50000;3,50000;1,05232;1,09130;0,70000;0,70000;
15.02.2019;18:18:26,00000;0,10996;0,10536;3,50000;3,50000;1,05432;1,09582;0,70000;0,70000;
15.02.2019;18:18:27,00000;0,11011;0,10553;3,50000;3,50000;1,05765;1,09122;0,70000;0,70000;
15.02.2019;18:18:28,00000;0,11013;0,10549;3,50000;3,50000;1,05826;1,09992;0,70000;0,70000;
15.02.2019;18:18:29,00000;0,11014;0,10561;3,50000;3,50000;1,05897;1,09942;0,70000;0,70000;
15.02.2019;18:18:30,00000;0,11014;0,10560;3,50000;3,50000;1,06444;1,10396;0,70000;0,70000;
15.02.2019;18:18:31,00000;0,11019;0,10575;3,50000;3,50000;1,06444;1,10381;0,70000;0,70000;
15.02.2019;18:18:32,00000;0,11023;0,10585;3,50000;3,50000;1,06835;1,10825;0,70000;0,70000;
15.02.2019;18:18:33,00000;0,11028;0,10580;3,50000;3,50000;1,07130;1,10958;0,70000;0,70000;
15.02.2019;18:18:34,00000;0,11030;0,10588;3,50000;3,50000;1,06715;1,10395;0,70000;0,70000;
15.02.2019;18:18:35,00000;0,11037;0,10607;3,50000;3,50000;1,07175;1,11656;0,70000;0,70000;
