Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 16
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;Wellentemp 1 [];Fluidtemp 1 [];Wellentemp 2 [];Fluidtemp 2 [];Moment 1 [];Moment 2 [];Moment 1 min mittel [];Moment 1 max Mittel [];Standaradabw M1 [];Moment 2 min Mittel [];Moment 2 max Mittel [];Standaradabw M2 [V];Ventilspannung1 [V];Ventilspannung2 [V];Drehzahl1 [V];Drehzahl2 [V];
15.02.2019;18:17:16,00000;0,076;0,355;0,452;-0,016;-0,041;-0,043;-0,044;-0,039;0,001;-0,047;-0,040;0,002;1,000;1,000;-160,255;-167,332;
15.02.2019;18:17:17,00000;21,920;20,863;21,957;21,687;-0,025;0,436;-0,098;0,041;0,054;0,342;0,516;0,068;0,005;0,005;-2,108;1,163;
15.02.2019;18:17:18,00000;21,821;20,846;21,804;21,624;-0,007;0,473;-0,018;0,030;0,012;0,462;0,499;0,009;0,015;0,015;-4,416;-0,954;
15.02.2019;18:17:19,00000;21,846;20,878;21,840;21,655;0,007;0,489;-0,007;0,016;0,008;0,480;0,499;0,006;0,025;0,025;-2,069;1,755;
15.02.2019;18:17:20,00000;21,864;20,902;21,851;21,669;0,019;0,498;0,012;0,026;0,005;0,494;0,501;0,003;0,035;0,035;-2,108;1,678;
15.02.2019;18:17:21,00000;21,782;20,785;21,750;21,528;1,180;1,748;0,012;9,487;2,328;0,494;10,507;2,479;0,045;0,045;-4,730;0,153;
15.02.2019;18:17:22,00000;20,991;19,585;20,821;20,293;19,497;20,639;9,578;21,735;3,069;10,600;22,901;3,087;0,055;0,055;-4,416;0,896;
15.02.2019;18:17:23,00000;21,088;19,787;20,990;20,449;22,148;23,134;21,024;22,537;0,416;22,142;23,471;0,352;0,065;0,065;-1,984;1,154;
15.02.2019;18:17:24,00000;21,142;19,796;21,020;20,444;21,618;23,785;21,298;22,075;0,220;23,111;24,141;0,360;0,075;0,075;-2,489;2,117;
15.02.2019;18:17:25,00000;21,130;19,811;21,009;20,368;20,795;23,270;20,680;20,975;0,084;23,080;23,481;0,122;0,085;0,085;-3,853;1,488;
