Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 16
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;n soll [V];T1 soll [V];T2 soll [V];Heizenergie_Spez_1 [-];Heizenergie_Spez_2 [-];Heizenergie_Zeit_1 [-];Heizenergie_Zeit_2 [-];n_IST_Antriebsmotor [min-1];n_Out_Umrichter [min-1];
15.02.2019;18:17:16,00000;4000,170;70,083;70,083;0,000;0,000;0,000;0,000;-1,77207;4,30017;
15.02.2019;18:17:17,00000;2000,085;70,000;70,000;0,000;0,000;0,000;0,000;17,59597;2,10916;
15.02.2019;18:17:18,00000;2000,085;70,000;70,000;0,000;0,000;0,000;0,000;18,16208;2,12894;
15.02.2019;18:17:19,00000;2000,085;70,000;70,000;0,000;0,000;0,000;0,000;23,66099;2,14846;
15.02.2019;18:17:20,00000;2000,085;70,000;70,000;0,938;0,938;0,938;0,938;23,46697;2,16823;
15.02.2019;18:17:21,00000;2000,085;70,000;70,000;0,199;0,199;1,199;1,199;26,31791;2,18785;
15.02.2019;18:17:22,00000;2000,085;70,000;70,000;0,938;0,938;2,137;2,137;518,81519;2,18140;
15.02.2019;18:17:23,00000;2000,085;70,000;70,000;0,199;0,199;2,398;2,398;1670,87451;2,13283;
15.02.2019;18:17:24,00000;2000,085;70,000;70,000;0,938;0,938;3,336;3,336;2147,57129;2,10896;
15.02.2019;18:17:25,00000;2000,085;70,000;70,000;0,199;0,199;3,598;3,598;2135,70337;2,10809;
15.02.2019;18:17:26,00000;2000,085;70,000;70,000;0,938;0,938;4,535;4,535;2135,70337;2,10680;
15.02.2019;18:17:27,00000;2000,085;70,000;70,000;0,199;0,199;4,797;4,797;2132,91357;2,10560;
15.02.2019;18:17:28,00000;2000,085;70,000;70,000;0,938;0,938;5,734;5,734;2136,38501;2,10408;
15.02.2019;18:17:29,00000;2000,085;70,000;70,000;0,199;0,199;5,996;5,996;2134,13232;2,10284;
15.02.2019;18:17:30,00000;2000,085;70,000;70,000;0,969;0,969;6,965;6,965;2130,10522;2,10163;
15.02.2019;18:17:31,00000;2000,085;70,000;70,000;0,199;0,199;7,195;7,195;2130,10522;2,10041;
15.02.2019;18:17:32,00000;2000,085;70,000;70,000;0,938;0,938;8,133;8,133;2122,39868;2,09952;
15.02.2019;18:17:33,00000;2000,085;70,000;70,000;0,199;0,199;8,395;8,395;2121,38550;2,09835;
15.02.2019;18:17:34,00000;2000,085;70,000;70,000;0,938;0,938;9,332;9,332;2130,52466;2,09664;
15.02.2019;18:17:35,00000;2000,085;70,000;70,000;0,199;0,199;9,594;9,594;2112,54492;2,09633;
15.02.2019;18:17:36,00000;2000,085;70,000;70,000;0,906;0,906;10,500;10,500;2121,62720;2,09472;
15.02.2019;18:17:37,00000;2000,085;70,000;70,000;0,199;0,199;10,793;10,793;2105,87378;2,09435;
15.02.2019;18:17:38,00000;2000,085;70,000;70,000;0,938;0,938;11,730;11,730;2107,64526;2,09319;
15.02.2019;18:17:39,00000;2000,085;70,000;70,000;0,199;0,199;11,992;11,992;2104,48193;2,09227;
15.02.2019;18:17:40,00000;2000,085;70,000;70,000;0,938;0,938;12,930;12,930;2099,12476;2,09155;
15.02.2019;18:17:41,00000;2000,085;70,000;70,000;0,199;0,199;13,191;13,191;2098,41064;2,09060;
15.02.2019;18:17:42,00000;2000,085;70,000;70,000;0,938;0,938;14,129;14,129;2094,87402;2,08980;
15.02.2019;18:17:43,00000;2000,085;70,000;70,000;0,199;0,199;14,391;14,391;2094,63354;2,08888;
15.02.2019;18:17:44,00000;2000,085;70,000;70,000;0,938;0,938;15,328;15,328;2094,33008;2,08794;
15.02.2019;18:17:45,00000;2000,085;70,000;70,000;0,199;0,199;15,590;15,590;2096,99585;2,08686;
15.02.2019;18:17:46,00000;2000,085;70,000;70,000;0,938;0,938;16,527;16,527;2095,33862;2,08598;
15.02.2019;18:17:47,00000;2000,085;70,000;70,000;0,199;0,199;16,789;16,789;2093,55273;2,08512;
15.02.2019;18:17:48,00000;2000,085;70,000;70,000;0,938;0,938;17,727;17,727;2091,85083;2,08428;
15.02.2019;18:17:49,00000;2000,085;70,000;70,000;0,199;0,199;17,988;17,988;2089,11401;2,08352;
15.02.2019;18:17:50,00000;2000,085;70,000;70,000;0,938;0,938;18,926;18,926;2093,75635;2,08237;
15.02.2019;18:17:51,00000;2000,085;70,000;70,000;0,199;0,199;19,188;19,188;2087,61792;2,08176;
15.02.2019;18:17:52,00000;2000,085;70,000;70,000;0,938;0,938;20,125;20,125;2092,81079;2,08062;
15.02.2019;18:17:53,00000;2000,085;70,000;70,000;0,199;0,199;20,387;20,387;2089,16284;2,07988;
15.02.2019;18:17:54,00000;2000,085;70,000;70,000;0,938;0,938;21,324;21,324;2092,46729;2,07880;
15.02.2019;18:17:55,00000;2000,085;70,000;70,000;0,199;0,199;21,586;21,586;2081,37598;2,07849;
15.02.2019;18:17:56,00000;2000,085;70,000;70,000;0,906;0,906;22,492;22,492;2084,19629;2,07752;
15.02.2019;18:17:57,00000;2000,085;70,000;70,000;0,199;0,199;22,785;22,785;2080,43530;2,07690;
15.02.2019;18:17:58,00000;2000,085;70,000;70,000;0,938;0,938;23,723;23,723;2078,90894;2,07618;
15.02.2019;18:17:59,00000;2000,085;70,000;70,000;0,199;0,199;23,984;23,984;2086,13794;2,07500;
15.02.2019;18:18:00,00000;2000,085;70,000;70,000;0,938;0,938;24,922;24,922;2083,54004;2,07427;
15.02.2019;18:18:01,00000;2000,085;70,000;70,000;0,199;0,199;25,184;25,184;2078,60815;2,07372;
15.02.2019;18:18:02,00000;2000,085;70,000;70,000;0,938;0,938;26,121;26,121;2077,17310;2,07300;
15.02.2019;18:18:03,00000;2000,085;70,000;70,000;0,199;0,199;26,383;26,383;2082,38745;2,07194;
15.02.2019;18:18:04,00000;2000,085;70,000;70,000;0,938;0,938;27,320;27,320;2074,54980;2,07155;
15.02.2019;18:18:05,00000;2000,085;70,000;70,000;0,199;0,199;27,582;27,582;2077,22070;2,07066;
15.02.2019;18:18:06,00000;2000,085;70,000;70,000;0,938;0,938;28,520;28,520;2077,15625;2,06990;
15.02.2019;18:18:07,00000;2000,085;70,000;70,000;0,199;0,199;28,781;28,781;2077,13599;2,06912;
15.02.2019;18:18:08,00000;2000,085;70,000;70,000;0,938;0,938;29,719;29,719;2079,58276;2,06822;
15.02.2019;18:18:09,00000;2000,085;70,000;70,000;0,199;0,199;29,980;29,980;2072,87329;2,06780;
15.02.2019;18:18:10,00000;2000,085;70,000;70,000;0,938;0,938;30,918;30,918;2079,66943;2,06669;
15.02.2019;18:18:11,00000;2000,085;70,000;70,000;0,199;0,199;31,180;31,180;2078,31177;2,06598;
15.02.2019;18:18:12,00000;2000,085;70,000;70,000;0,938;0,938;32,117;32,117;2074,44849;2,06539;
15.02.2019;18:18:13,00000;2000,085;70,000;70,000;0,199;0,199;32,379;32,379;2074,01318;2,06469;
15.02.2019;18:18:14,00000;2000,085;70,000;70,000;0,938;0,938;33,316;33,316;2075,85010;2,06383;
15.02.2019;18:18:15,00000;2000,085;70,000;70,000;0,199;0,199;33,578;33,578;2075,06714;2,06313;
15.02.2019;18:18:16,00000;2000,085;70,000;70,000;0,938;0,938;34,516;34,516;2076,10059;2,06232;
15.02.2019;18:18:17,00000;2000,085;70,000;70,000;0,199;0,199;34,777;34,777;2073,87939;2,06168;
15.02.2019;18:18:18,00000;2000,085;70,000;70,000;0,938;0,938;35,715;35,715;2072,52661;2,06102;
15.02.2019;18:18:19,00000;2000,085;70,000;70,000;0,199;0,199;35,977;35,977;2071,64722;2,06033;
15.02.2019;18:18:20,00000;2000,085;70,000;70,000;0,938;0,938;36,914;36,914;2067,94336;2,05984;
15.02.2019;18:18:21,00000;2000,085;70,000;70,000;0,199;0,199;37,176;37,176;2065,91455;2,05928;
15.02.2019;18:18:22,00000;2000,085;70,000;70,000;0,938;0,938;38,113;38,113;2068,49048;2,05845;
15.02.2019;18:18:23,00000;2000,085;70,000;70,000;0,199;0,199;38,375;38,375;2069,15381;2,05775;
15.02.2019;18:18:24,00000;2000,085;70,000;70,000;0,938;0,938;39,313;39,313;2065,17896;2,05727;
15.02.2019;18:18:25,00000;2000,085;70,000;70,000;0,199;0,199;39,574;39,574;2069,58203;2,05637;
15.02.2019;18:18:26,00000;2000,085;70,000;70,000;0,938;0,938;40,512;40,512;2068,73145;2,05573;
15.02.2019;18:18:27,00000;2000,085;70,000;70,000;0,199;0,199;40,773;40,773;2060,15186;2,05551;
15.02.2019;18:18:28,00000;2000,085;70,000;70,000;0,938;0,938;41,711;41,711;2059,53735;2,05495;
15.02.2019;18:18:29,00000;2000,085;70,000;70,000;0,199;0,199;41,973;41,973;2058,42920;2,05443;
15.02.2019;18:18:30,00000;2000,085;70,000;70,000;0,938;0,938;42,910;42,910;2063,30273;2,05356;
15.02.2019;18:18:31,00000;2000,085;70,000;70,000;0,199;0,199;43,172;43,172;2061,66284;2,05304;
15.02.2019;18:18:32,00000;2000,085;70,000;70,000;0,938;0,938;44,109;44,109;2062,72168;2,05234;
15.02.2019;18:18:33,00000;2000,085;70,000;70,000;0,199;0,199;44,371;44,371;2058,33472;2,05196;
