Experiment_Software - v1.2
Schaltbildname : 2019_02_15_ABC_2_XY
Aufgenommen am : 22.02.2019, 10:33:35
Blocklaenge    : 1
Delta          : 0.03125 sec.
Kanalzahl      : 8
> Oil 1: Super Oil
> Oil 2: Bad Oil
> Elastomer 1: E123
> Elastomer 2: E321
> Welle 1: W_Good
> Welle 2: W_Bad
> Versuchsname: ABC_2_XY
> Datum [JJJJ_MM_TT]: 2019_02_22
> Versuchsstand: 14
> Kalibriergew [kg]: 10,00
> Kalibriergew M [kg]: 1,00
> Tariergew 1 [%]: 3,96
> Tariergew 2 [%]: 4,07
Datum;Uhrzeit;Sta1 [-];Rich1 [-];U1 [-];Sta2 [-];Rich2 [-];U2 [-];Linienlast1 [N/mm];Linienlast2 [N/mm];
15.02.2019;18:17:16,00000;5,00000;0,00000;5,00000;5,00000;0,00000;10,00000;-0,06395;-0,06249;
15.02.2019;18:17:17,00000;4,99023;0,00000;5,00000;4,99023;0,00000;10,00000;0,13106;0,13045;
15.02.2019;18:17:18,00000;5,00000;0,00000;5,00000;4,22852;0,00000;10,00000;0,13287;0,13366;
15.02.2019;18:17:19,00000;1,32813;0,00000;5,00000;0,00000;2,33398;10,00000;0,13746;0,14019;
15.02.2019;18:17:20,00000;0,00000;0,00000;5,00000;0,00000;3,13477;10,00000;0,13887;0,14078;
15.02.2019;18:17:21,00000;0,00000;0,00000;5,00000;0,00000;4,36523;10,00000;0,13860;0,14105;
15.02.2019;18:17:22,00000;0,00000;0,00000;5,00000;3,03711;5,00000;10,00000;0,13928;0,14527;
15.02.2019;18:17:23,00000;0,00000;0,00000;5,00000;0,00000;0,79102;10,00000;0,13841;0,13995;
15.02.2019;18:17:24,00000;1,96289;0,00000;5,00000;0,00000;0,00000;10,00000;0,13752;0,14003;
15.02.2019;18:17:25,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13989;0,13966;
15.02.2019;18:17:26,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14009;0,13924;
15.02.2019;18:17:27,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14009;0,13924;
15.02.2019;18:17:28,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13922;0,13910;
15.02.2019;18:17:29,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13939;0,13919;
15.02.2019;18:17:30,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14064;0,13913;
15.02.2019;18:17:31,00000;0,00000;0,63477;5,00000;0,00000;0,00000;10,00000;0,14064;0,13913;
15.02.2019;18:17:32,00000;0,00000;1,20117;5,00000;0,00000;0,00000;10,00000;0,14049;0,13920;
15.02.2019;18:17:33,00000;0,00000;1,53320;5,00000;0,00000;0,00000;10,00000;0,14014;0,13904;
15.02.2019;18:17:34,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14024;0,13890;
15.02.2019;18:17:35,00000;0,00000;0,32227;5,00000;0,00000;0,00000;10,00000;0,14017;0,13896;
15.02.2019;18:17:36,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13993;0,13886;
15.02.2019;18:17:37,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13958;0,13879;
15.02.2019;18:17:38,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14049;0,13885;
15.02.2019;18:17:39,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14029;0,13892;
15.02.2019;18:17:40,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13983;0,13862;
15.02.2019;18:17:41,00000;0,00000;1,45508;5,00000;0,00000;0,00000;10,00000;0,14033;0,13874;
15.02.2019;18:17:42,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13953;0,13856;
15.02.2019;18:17:43,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14008;0,13863;
15.02.2019;18:17:44,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14048;0,13864;
15.02.2019;18:17:45,00000;0,00000;1,27930;5,00000;0,00000;0,00000;10,00000;0,14065;0,13862;
15.02.2019;18:17:46,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14054;0,13867;
15.02.2019;18:17:47,00000;0,00000;0,83008;5,00000;0,00000;0,00000;10,00000;0,14068;0,13852;
15.02.2019;18:17:48,00000;0,00000;0,76172;5,00000;0,00000;0,00000;10,00000;0,13991;0,13849;
15.02.2019;18:17:49,00000;0,00000;2,13867;5,00000;0,00000;0,00000;10,00000;0,14100;0,13862;
15.02.2019;18:17:50,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13968;0,13881;
15.02.2019;18:17:51,00000;0,00000;1,49414;5,00000;0,00000;0,00000;10,00000;0,14068;0,13847;
15.02.2019;18:17:52,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13999;0,13814;
15.02.2019;18:17:53,00000;0,00000;1,30859;5,00000;0,00000;0,00000;10,00000;0,14052;0,13844;
15.02.2019;18:17:54,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13958;0,13831;
15.02.2019;18:17:55,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13998;0,13827;
15.02.2019;18:17:56,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13946;0,13825;
15.02.2019;18:17:57,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13957;0,13832;
15.02.2019;18:17:58,00000;0,00000;0,67383;5,00000;1,86523;0,00000;10,00000;0,14007;0,13897;
15.02.2019;18:17:59,00000;0,00000;0,68359;5,00000;0,00000;0,00000;10,00000;0,13962;0,14115;
15.02.2019;18:18:00,00000;0,00000;0,54688;5,00000;0,00000;0,00000;10,00000;0,14045;0,14125;
15.02.2019;18:18:01,00000;0,00000;1,11328;5,00000;0,00000;0,00000;10,00000;0,14031;0,14123;
15.02.2019;18:18:02,00000;0,00000;1,66016;5,00000;0,00000;0,00000;10,00000;0,14047;0,14112;
15.02.2019;18:18:03,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13947;0,14125;
15.02.2019;18:18:04,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13991;0,14120;
15.02.2019;18:18:05,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13982;0,14136;
15.02.2019;18:18:06,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14018;0,14130;
15.02.2019;18:18:07,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,13988;0,14136;
15.02.2019;18:18:08,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14027;0,14121;
15.02.2019;18:18:09,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14021;0,14110;
15.02.2019;18:18:10,00000;0,00000;0,00000;5,00000;0,00000;0,00000;10,00000;0,14006;0,14120;
